Category,ResourceId,ResourceName,ResourceGroupName,CostUSD_T4_2024,CostUSD_T5_2024
API Management,/subscriptions/1b1058cf-48a3-4ed2-a21d-3277393734ba/resourcegroups/sgr-management/providers/microsoft.apimanagement/service/sgr-apimgmt,sgr-apimgmt,sgr-management,47.376,48.9552
API Management,/subscriptions/1b1058cf-48a3-4ed2-a21d-3277393734ba/resourcegroups/sgr-management/providers/microsoft.apimanagement/service/sgr-apimgmt-prd,sgr-apimgmt-prd,sgr-management,2756.88,2848.776
API Management,/subscriptions/1b1058cf-48a3-4ed2-a21d-3277393734ba/resourcegroups/sunworld-dev/providers/microsoft.apimanagement/service/sgr-apimgmt-dev,sgr-apimgmt-dev,sunworld-dev,47.376,48.9552
Application Gateway,/subscriptions/1b1058cf-48a3-4ed2-a21d-3277393734ba/resourcegroups/sap-prd/providers/microsoft.network/applicationgateways/application-gateway,application-gateway,sap-prd,445.187604313374,456.744455678453
Application Gateway,/subscriptions/1b1058cf-48a3-4ed2-a21d-3277393734ba/resourcegroups/sap-prd/providers/microsoft.network/applicationgateways/internal_application_gateway,internal_application_gateway,sap-prd,203.5038606707996,210.3521602129344
Application Gateway,/subscriptions/1b1058cf-48a3-4ed2-a21d-3277393734ba/resourcegroups/sgr-management/providers/microsoft.network/applicationgateways/internal_app_gateway2,internal_app_gateway2,sgr-management,,169.1485279661017
Application Gateway,/subscriptions/1b1058cf-48a3-4ed2-a21d-3277393734ba/resourcegroups/sgr-management/providers/microsoft.network/applicationgateways/internal_application_gateway2,internal_application_gateway2,sgr-management,46.47236532161742,
Application Gateway,/subscriptions/1b1058cf-48a3-4ed2-a21d-3277393734ba/resourcegroups/sgr-management/providers/microsoft.network/applicationgateways/sgr-applicationgateway,sgr-applicationgateway,sgr-management,440.64,456.051039400472
Azure Active Directory for External Identities,/subscriptions/1b1058cf-48a3-4ed2-a21d-3277393734ba/resourcegroups/sunworld-dev/providers/microsoft.azureactivedirectory/b2cdirectories/sunworldb2cdev.onmicrosoft.com,sunworldb2cdev.onmicrosoft.com,sunworld-dev,0.00325,
Azure Active Directory for External Identities,/subscriptions/1b1058cf-48a3-4ed2-a21d-3277393734ba/resourcegroups/sunworld-prd/providers/microsoft.azureactivedirectory/b2cdirectories/sunworldid.onmicrosoft.com,sunworldid.onmicrosoft.com,sunworld-prd,0.00325,0.00325
Azure Analysis Services,/subscriptions/1b1058cf-48a3-4ed2-a21d-3277393734ba/resourcegroups/rg-dwh-prod/providers/microsoft.analysisservices/servers/aassgrdwh,aassgrdwh,rg-dwh-prod,583.2,602.64
Azure Analysis Services,/subscriptions/1b1058cf-48a3-4ed2-a21d-3277393734ba/resourcegroups/rg-dwh-prod/providers/microsoft.analysisservices/servers/aassgrprd,aassgrprd,rg-dwh-prod,582.99569289,602.43769197
Azure App Service,/subscriptions/1b1058cf-48a3-4ed2-a21d-3277393734ba/resourcegroups/rg-dwh-prod/providers/microsoft.web/sites/miscleansftp,miscleansftp,rg-dwh-prod,,0.0
Azure Cosmos DB,/subscriptions/1b1058cf-48a3-4ed2-a21d-3277393734ba/resourcegroups/mysgr_staging/providers/microsoft.documentdb/databaseaccounts/mysgr-cosmosdb-staging,mysgr-cosmosdb-staging,mysgr_staging,0.0,0.0
Azure DNS,/subscriptions/1b1058cf-48a3-4ed2-a21d-3277393734ba/resourcegroups/ecommerce-dev/providers/microsoft.network/privatednszones/privatelink.mariadb.database.azure.com,privatelink.mariadb.database.azure.com,ecommerce-dev,1.022282567741936,1.023756
